title,date,url,content,tags
"Angin Kencang Robohkan Pohon dan Tiang Listrik di Pemalang, Warga Kesetrum dan Tertimpa Tiang Listrik","Kamis 05-03-2026,06:50 WIB",https://radartegal.disway.id/lokal/read/723237/angin-kencang-robohkan-pohon-dan-tiang-listrik-di-pemalang-warga-kesetrum-dan-tertimpa-tiang-listrik,"Warga Paguyangan tertimpa tiang listrik saat melintas di Jalan Raya Peguyangan–Bantarbolang
PEMALANG, radartegal.com - Hujan deras disertai angin kencang robohkan pohon dan tiang listrik di wilayah Kabupaten Pemalang, Rabu petang, 4 Maret 2026. Peristiwa ini, terjadi di Jalan Raya Peguyangan–Bantarbolang.
Akibat kejadian tersebut, satu warga Desa Peguyangan, Kecamatan Bantarbolang, kesetrum dan tertimpa tiang listrik saat melintas di lokasi kejadian.
Kepala Pelaksana Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Pemalang Agus Ikmaludin mengatakan, korban diketahui bernama Puji Eka Sampurna (39). Saat ini korban masih menjalani perawatan intensif di Instalasi Gawat Darurat (IGD) RSUD M. Ashari Pemalang.
""Korban atas nama Puji Eka Sampurna dilaporkan belum sadarkan diri setelah tersetrum dan tertimpa tiang listrik. Saat ini korban dirawat intensif di IGD RSUD M. Ashari Pemalang,"" kata Agus.
Ia menjelaskan, peristiwa terjadi saat hujan dengan intensitas sedang hingga lebat disertai angin kencang melanda wilayah Kabupaten Pemalang.
Kondisi cuaca ekstrem menyebabkan sebuah pohon tumbang dan mengenai jaringan listrik hingga tiang ikut roboh.
Petugas BPBD bersama unsur terkait langsung menuju lokasi untuk melakukan evakuasi korban serta penanganan material pohon dan tiang listrik yang menghalangi akses jalan.
Arus lalu lintas sempat tersendat akibat kejadian tersebut. Agus mengimbau masyarakat untuk meningkatkan kewaspadaan saat beraktivitas di luar ruangan ketika terjadi hujan deras disertai angin kencang, terutama di jalur yang banyak terdapat pepohonan dan jaringan listrik.
""Kami mengingatkan masyarakat agar berhati-hati saat cuaca buruk demi keselamatan bersama,"" pungkasnya.",kabupaten pemalang | kesetrum | tiang listrik | pohon tumbang | hujan | angin kencang | korban
Update Mudik 2026: Daftar Jalur Rawan Kecelakaan dan Titik Macet di Kabupaten Tegal,"Rabu 04-03-2026,21:06 WIB",https://radartegal.disway.id/lokal/read/723235/update-mudik-2026-daftar-jalur-rawan-kecelakaan-dan-titik-macet-di-kabupaten-tegal,"BERI PENJELASAN- Kasat Lantas Polres Tegal menjelaskan pemetaan jalur rawan kecelakaan di Kabupaten Tegal pada awak media.-Hermas Purwadi-
SLAWI, radartegal.com – Menjelang pelaksanaan Operasi Ketupat Candi 2026, Polres Tegal bersama Pemerintah Kabupaten Tegal bergerak cepat memetakan potensi kerawanan lalu lintas. Langkah ini diambil guna menjamin Keamanan, Keselamatan, Ketertiban, dan Kelancaran lalu lintas (Kamseltibcar Lantas) selama periode mudik dan libur Lebaran 2026.
Melalui Focus Group Discussion (FGD) yang digelar di Aula Tantya Sudhirajati, Rabu 4 Maret 2026, sejumlah instansi lintas sektor mulai dari Dinas Perhubungan, Jasa Raharja, hingga pengelola Tol Pejagan-Pemalang bersinergi menyusun strategi pengamanan jalur.
Kapolres Tegal AKBP Bayu Pratama Gubunagi, S.H., S.I.K., M.H., melalui Kasat Lantas AKP Bharatungga Dharuning Pawuri, S.I.K., menegaskan bahwa fokus pengamanan tidak hanya tertuju pada pemudik dari luar kota, tetapi juga mobilitas warga lokal.
""Kita tidak hanya membahas arus mudik, tetapi juga tetap mengakomodir kegiatan masyarakat Kabupaten Tegal. Jangan sampai ada yang terabaikan,"" ujar AKP Bharatungga.
Beberapa kawasan yang diprediksi akan mengalami kepadatan tinggi meliputi:
Bagi para pemudik, harap waspadai titik-titik dengan angka kecelakaan tinggi berikut ini:
Polres Tegal juga memberikan perhatian khusus pada potensi bencana alam:
Pihak kepolisian mengimbau masyarakat untuk terus memantau update lalu lintas terkini melalui media sosial resmi Polres Tegal agar dapat memilih jalur alternatif dengan bijak.",lebaran 2026 | polres tegal | kabupaten tegal | jalur rawan | lalu lintas | media sosial | mudik
"Dikenalkan, Pelaku Usaha IKM di Tegal Didorong Manfaatkan Teknologi AI untuk Dongkrak Pemasaran","Rabu 04-03-2026,21:00 WIB",https://radartegal.disway.id/lokal/read/723234/dikenalkan-pelaku-usaha-ikm-di-tegal-didorong-manfaatkan-teknologi-ai-untuk-dongkrak-pemasaran,"Anggota Komisi X DPR RI Abdul Fikri saat menghadiri Bintek Pengenalan Teknologi AI bagi pelaku usaha IKM di Tegal
TEGAL, radartegal.com - Sejumlah pelaku usaha Industri Kecil Menengah (IKM) di TEGAL dikenalkan teknologi Artificial Intellegence (AI), Rabu, 4 Maret 2026 siang. Melalui kegiatan itu, mereka diharapkan mampu memanfaatkan teknologi itu untuk mendongkrak pemasaran produk mereka sendiri.
Anggota Komisi X DPR RI Abdul Fikri, sesaat setelah membuka acara mengatakan, kegiatan digelar Badan Riset dan Inovasi Nasional (BRIN) yang merupakan mitra kerja pihaknya. Kegiatan kali ini dilakukan untuk memperkenalkan teknologi AI kepada para pelaku IKM, khususnya di Kota Tegal dan sekitarnya.
""Saat ini, perkembangan teknologi khususnya AI cukup hangat diperbincangkan, sayangnya banyak diantara kita yang jangankan menggunakan, paham saja tidak. Sehingga, kali ini kita perkenalkan kepada para pelaku IKM,"" katanya.
Menurut Fikri, melalui kegiatan itu, para pelaku IKM akan mampu beradaptasi dengan perkembangan teknologi. Sehingga tidak tertinggal dengan daerah lainnya.
""Jadi ini dikenalkan untuk IKM, agar jangan sampai tertinggal karena yang lain sudah menggunakan AI. Kalau sudah ada pelatihan, maka bisa diketahui kelebihan dan kelemahan AI itu sendiri,"" ujarnya.
Politisi PKS itu mengungkapkan banyak sekali kegunaan teknologi AI. Seperti untuk branding atau bahkan untuk memasarkan produk-produk IKM itu sendiri.
""Sebenarnya penggunaan AI itu sendiri cukup mudah, tinggal memasukkan perintah menggunakan bahasa Indonesia. Sehingga, ini bisa dimanfaatkan untuk membantu memasarkan produk dari IKM,"" terangnya.
Meski begitu, imbuh Fikri, memang ada juga kelemahan dalam penggunaan AI itu. Sehingga, perlu sikap kehati-hatian dalam menggunakannya dan tidak perlu semua dimasukkan sebagai input dalam penggunaan AI.
""Seperti data pribadi, itu jangan sampai semua diinput. Karena nantinya bisa disalahgunakan,"" tandasnya.",berita tegal terbaru | berita tegal hari ini | berita tegal | kota tegal | brin | tegal | dpr ri
"Tiga Nama Lolos Seleksi Akhir Sekda Pemalang, Ini Daftarnya","Rabu 04-03-2026,20:30 WIB",https://radartegal.disway.id/lokal/read/723233/tiga-nama-lolos-seleksi-akhir-sekda-pemalang-ini-daftarnya,"Ilustrasi 3 nama calon sekda pemalang yang lolos seleksi akhir
PEMALANG, radartegal.com - Panitia Seleksi Terbuka dan Kompetitif Pengisian Jabatan Pimpinan Tinggi (JPT) Pratama Sekretaris Daerah Kabupaten Pemalang Tahun 2026 resmi mengumumkan hasil akhir seleksi, Rabu 4 Februari 2026. Itu, seperti tertuang dalam pengumuman Nomor: 24/JPTP-SEKDA/2026 tentang Hasil Akhir Seleksi Terbuka dan Kompetitif Pengisian JPT Pratama Sekretaris Daerah Kabupaten Pemalang Tahun 2026.
Berdasarkan Berita Acara Rapat Koordinasi Pelaksanaan Penetapan Hasil Akhir Seleksi Terbuka dan Kompetitif Pengisian JPT Pratama Sekretaris Daerah Kabupaten Pemalang Tahun 2026 Nomor 22/BA/JPTP-SEKDA/2026 tanggal 3 Maret 2026. Panitia seleksi menetapkan tiga nama Pegawai Negeri Sipil yang direkomendasikan kepada Bupati Pemalang selaku Pejabat Pembina Kepegawaian.
Dalam pengumuman tersebut dijelaskan, seluruh tahapan dan materi seleksi telah dilaksanakan sesuai dengan ketentuan. Sebagaimana tercantum dalam Pengumuman Panitia Seleksi Nomor 04/JPTP-SEKDA/2026 tanggal 11 Februari 2026.
Ketua Panitia Seleksi (Pansel) Hardi Warsono menegaskan bahwa keputusan yang diambil bersifat mutlak dan tidak dapat diganggu gugat. ""Selanjutnya, keputusan akhir penetapan Sekretaris Daerah Kabupaten Pemalang akan berada di tangan Bupati Pemalang selaku Pejabat Pembina Kepegawaian,"" tukasnya.
Ketiga nama tersebut disusun berdasarkan urutan abjad dan akan dipilih satu orang untuk ditetapkan sebagai Sekretaris Daerah Kabupaten Pemalang. Adapun ketiga nama kandidat tersebut yakni, Drs. Ahmady Stiawan Widatmojo, AP., M.M., yang saat ini menjabat sebagai Kepala Dinas Lingkungan Hidup Kabupaten Pemalang.
Selanjutnya, Drs. Andri Adi, M.Si., yang menjabat sebagai Kepala Dinas Pemberdayaan Masyarakat dan Pemerintahan Desa Kabupaten Pemalang. Serta Bagus Sutopo, S.STP., MAP., yang menjabat sebagai Asisten Administrasi Umum Sekretariat Daerah Kabupaten Pemalang.",sekda pemalang | kabupaten pemalang | sekda
"Diduga Tertekan, Remaja 18 Tahun Berbuat Aksi Nekat di Perlintasan KA Brigif 4 Slawi Hingga Diamankan Petugas","Rabu 04-03-2026,14:30 WIB",https://radartegal.disway.id/lokal/read/723224/diduga-tertekan-remaja-18-tahun-berbuat-aksi-nekat-di-perlintasan-ka-brigif-4-slawi-hingga-diamankan-petugas,"REMAJA- DITENANGKAN - Kepala Dinas Perhubungan Kabupaten Tegal Elliya Hidayah SIP MM turut menenangkan remaja 18 tahun yang melakukan aksi nekat di perlintasan KA Brigif 4/Dewa Ratna Slawi. -Hermas Purwadi-
SLAWI, radartegal.com – Diduga tertekan, seorang remaja berinisial KH, 18 tahun, warga Desa Cerih, Kecamatan Jatinegara, Kabupaten Tegal nyaris mengakhiri hidupnya di perlintasan sebidang pada Rabu 4 Maret 2026. Beruntung, aksi nekat di perlintasan KA Brigif 4 SLAWI tersebut berhasil digagalkan petugas jaga perlintasan kereta api (KA) di area Brigif 4/Dewa Ratna.
Kepala Dinas Perhubungan (Dishub) Kabupaten Tegal Elliya Hidayah, SIP, MM, melalui Kabid Manajemen Rekayasa Lalu Lintas, Agil Suprayogi, menjelaskan bahwa insiden terjadi sekitar pukul 11.40 WIB. Remaja tersebut terlihat menyusuri rel dengan gelagat mencurigakan.
""Yang bersangkutan sempat bertanya kepada petugas jaga mengenai jam melintas KA Joglosemarkerto. Melihat gelagat yang kurang baik, petugas kami segera mengamankan KH ke dalam pos jaga sebelum kereta melintas,"" ungkap Agil.
Setelah diamankan, pihak Dishub segera berkoordinasi dengan Dinas Sosial (Dinsos) serta Unit Pemberdayaan Perempuan dan Anak (PPA) untuk penanganan lebih lanjut.
Pendamping Rehabilitasi Sosial Dinsos Kabupaten Tegal Fathan mengungkapkan bahwa aksi nekat remaja 18 tahun itu dipicu oleh beban psikologis akibat kondisi ekonomi keluarga. Berdasarkan hasil asessmen, diketahui ayah korban sedang menderita stroke, sementara ibunya bekerja serabutan sebagai buruh cuci.
""KH merasa tertekan karena ingin membantu ekonomi keluarga dengan bekerja sebagai ABK (Anak Buah Kapal), namun upaya tersebut belum membuahkan hasil,"" jelas Fathan.
Setelah diberikan pendampingan, KH langsung diantarkan pulang ke rumah keluarganya di Desa Cerih.
Insiden ini menjadi pengingat keras bagi masyarakat mengenai bahaya beraktivitas di sekitar jalur kereta api. Pemkab Tegal sebelumnya telah mengeluarkan Surat Edaran Bupati Tegal Nomor 100.3.4/77-1/15 yang melarang keras segala bentuk aktivitas di sepanjang jalur rel.
Agil Suprayogi menegaskan bahwa seiring meningkatnya frekuensi dan kecepatan kereta api di wilayah Tegal, risiko kecelakaan semakin tinggi.
""Kami melarang masyarakat melakukan aktivitas seperti bermain, berjalan di atas rel, membuat konten video, berswafoto, hingga nongkrong di area perlintasan sebidang. Ini demi keselamatan bersama,"" tegasnya.

REMAJA- DITENANGKAN - Kepala Dinas Perhubungan Kabupaten Tegal Elliya Hidayah SIP MM turut menenangkan remaja 18 tahun yang melakukan aksi nekat di perlintasan KA Brigif 4/Dewa Ratna Slawi. -Hermas Purwadi-
Pihak Dishub dan Dinsos mengimbau masyarakat untuk lebih peka terhadap kondisi mental anggota keluarga dan melaporkan segera jika melihat aktivitas mencurigakan di jalur transportasi publik.",keselamatan ka | berita tegal hari ini | slawi | brigif | perlintasan kereta api | kabupaten tegal | dishub | kereta api
Kasus Judi Sabung Ayam di Panggung Tegal: Polisi Pastikan Prosedur Sesuai SOP,"Rabu 04-03-2026,12:48 WIB",https://radartegal.disway.id/lokal/read/723222/kasus-judi-sabung-ayam-di-panggung-tegal-polisi-pastikan-prosedur-sesuai-sop,"BERI KETERANGAN- Polres Tegal Kota memberikan keterangan resmi terkait operasi penertiban dugaan praktik judi sabung ayam di Jalan Timor Timur, Kelurahan Panggung, Minggu 1 Maret 2026.
TEGAL, radartegal.com – Polres TEGAL Kota memberikan keterangan resmi terkait operasi penertiban dugaan praktik judi sabung ayam di Jalan Timor Timur, Kelurahan Panggung, Minggu 1 Maret 2026. Selain menjelaskan prosedur kepolisian, pihak aparat juga mengungkap perkembangan terbaru terkait penemuan sejumlah warga yang meninggal dunia akibat tenggelam di wilayah Kabupaten TEGAL.
Operasi ini bermula dari laporan masyarakat yang masuk sekitar pukul 13.00 WIB. Tim Satreskrim Polres Tegal Kota yang dipimpin AKP Husen Asnawi langsung menuju lokasi yang diduga menjadi arena judi sabung ayam di Kecamatan Tegal Timur.
Meski saat petugas tiba aktivitas perjudian sudah berhenti, polisi berhasil mengamankan sejumlah barang bukti kuat, di antaranya:
Dalam kegiatan tersebut, empat pria berinisial MF, W, AS, dan IJ turut diamankan ke Mapolres Tegal Kota untuk dimintai keterangan sebelum akhirnya dipulangkan setelah proses klarifikasi.
Kasat Reskrim AKP Husen Asnawi menegaskan bahwa seluruh rangkaian penertiban berjalan secara persuasif sesuai Standar Operasional Prosedur (SOP).
""Petugas tidak melakukan pengejaran, tidak menggunakan senjata api, serta tidak ada kekerasan maupun intimidasi. Kami mengedepankan imbauan agar masyarakat di lokasi tetap kooperatif,"" ujar AKP Husen. Ia juga menambahkan bahwa segala bentuk perjudian adalah tindak pidana yang akan diproses sesuai hukum yang berlaku.
Bersamaan dengan peristiwa tersebut, publik dikejutkan dengan penemuan jenazah di kawasan Pantai Larangan, Kabupaten Tegal. Korban pertama teridentifikasi berinisial MA, 32 tahun, warga Desa Dampyak, yang diduga mencoba melarikan diri dengan menyeberangi sungai saat melihat kedatangan petugas.
Penyelidikan lebih lanjut mengungkap adanya dua korban meninggal dunia lainnya yang merupakan rekan korban pertama, yaitu: S, warga Desa Dampyak, Kecamatan Kramat. KS, warga Kelurahan Panggung, Kota Tegal.
Sementara itu, satu orang lain berinisial U yang sempat dilaporkan hilang telah dikonfirmasi selamat dan saat ini diketahui sedang berada di luar kota berdasarkan keterangan pihak keluarga.
Kapolres Tegal Kota AKBP Heru A. Cahya menyampaikan rasa duka cita mendalam kepada keluarga korban. Ia meminta masyarakat untuk tetap tenang dan tidak termakan isu liar yang belum terverifikasi.

BERI KETERANGAN- Polres Tegal Kota memberikan keterangan resmi terkait operasi penertiban dugaan praktik judi sabung ayam di Jalan Timor Timur, Kelurahan Panggung, Minggu 1 Maret 2026.
""Kami tegaskan kembali, tidak ada pengejaran atau penggunaan senjata api dalam penertiban tersebut. Kami berkomitmen menangani kasus ini secara transparan dan akuntabel. Kami minta masyarakat menunggu hasil resmi penyelidikan,"" pungkas AKBP Heru.",panggung | kapolres tegal kota | judi | sabung ayam | sop | perjudian | tegal
"Seleksi Sekda Pemalang 2026 Masuki Tahap Krusial, 6 Nama Siap Rebut Tiga Besar","Rabu 04-03-2026,09:59 WIB",https://radartegal.disway.id/lokal/read/723215/seleksi-sekda-pemalang-2026-masuki-tahap-krusial-6-nama-siap-rebut-tiga-besar,"Proses seleksi Sekda Pemalang kini memasuki tahap krusial berupa uji wawancara dan presentase
PEMALANG, radartegal.com - Enam pejabat eselon di lingkungan Pemerintah Kabupaten (Pemkab) PEMALANG saat ini tengah bersaing memperebutkan kursi Sekretaris Daerah (Sekda). Proses seleksi kini memasuki tahap krusial berupa uji wawancara dan presentasi.
Ketua Panitia Seleksi (Pansel) Sekda Pemalang, Hardi Warsono, mengatakan tahapan seleksi telah memasuki uji wawancara dan presentasi. Tahap tersebut digelar pada Selasa 3 Februari 2026 di salah satu hotel di Kota Semarang.
""Tadi pagi sudah dilaksanakan tahapan uji wawancara dan presentasi bertempat di salah satu hotel di Kota Semarang,"" katanya.
Ia menambahkan, dari enam peserta tersebut nantinya akan dipilih tiga nama terbaik untuk diajukan kepada Bupati Pemalang selaku Pejabat Pembina Kepegawaian (PPK).
""Setelah ini akan diumumkan tiga besar dan selanjutnya diserahkan kepada bupati selaku PPK,"" pungkasnya.
Untuk diketahui, dari enam nama yang lolos tahapan seleksi, terbentuk dua “gerbong” besar berdasarkan latar belakang pendidikan, yakni dari kalangan tiga alumni Institut Pemerintahan Dalam Negeri (IPDN) dan tiga pejabat non-alumni.
Tiga calon berlatar belakang IPDN masing-masing Ahmady Stiawan Widatmojo, Andri Adi, dan Bagus Sutopo. Sementara dari kalangan non-IPDN terdapat Eko Adi Santoso, Joko Tri Asmoro, dan Umroni.",kabupaten pemalang | sekda | pemalang
SICANTIKS Pemkot Tegal: Kawah Candradimuka Agen Literasi Keuangan Syariah,"Rabu 04-03-2026,09:30 WIB",https://radartegal.disway.id/lokal/read/723216/sicantiks-pemkot-tegal-kawah-candradimuka-agen-literasi-keuangan-syariah,"SICANTIKS - Ketua PKK Kota Tegal Gadis Sephi Febriana jadi Bunda SICANTIKS Kota Tegal.-istimewa-
TEGAL, radartegal.com - Sahabat Ibu Cakap Literasi Keuangan Syariah alias SICANTIKS, resmi digelar Pemkot Tegal di Gedung Adipura Balai Kota, Selasa, 3 Maret 2026. Kegiatan kolaborasi Otoritas Jasa Keuangan (OJK) dan PKK Kota Tegal itu menjadi Kawah Candradimuka agen literasi Keuangan Syariah di Kota Bahari.
Kegiatan SICANTIKS 2026 resmi dibuka Wali Kota Tegal, Dedy Yon Supriyono. Hadir Kepala OJK Tegal Kurnia Tri Puspita beserta jajaran, Ketua TP PKK Kota Tegal Gadis Sephi Febriana, Narasumber, Ketua TP PKK Kecamatan dan Kelurahan, Kader Dasawisma, pelaku UMKM binaan, insan media, serta seluruh peserta SICANTIKS.
Dedy Yon menyampaikan apresiasi atas kolaborasi strategis antara OJK dan TP PKK Kota Tegal dalam meningkatkan literasi keuangan syariah di tengah masyarakat, khususnya bagi kaum perempuan.
“Perempuan, khususnya ibu-ibu PKK, memiliki peran penting dalam menjaga stabilitas ekonomi keluarga. Ibu adalah pengelola keuangan rumah tangga sekaligus pengambil keputusan finansial sehari-hari,” kata Dedy Yon.
Menurutnya dalam rumah tangga modern, peran suami dan istri semakin dinamis. Namun dalam perspektif Islam terdapat tiga prinsip penting yang harus dipahami, yakni kewajiban, pilihan, dan penunjang.
Maka, literasi keuangan keluarga menjadi sangat penting di tengah tantangan ekonomi yang semakin kompleks. Pemasukan yang besar tidak menjamin kesejahteraan apabila tidak dikelola dengan baik dan terencana.
“Melalui SICANTIKS ini, saya berharap ibu-ibu PKK menjadi agen literasi keuangan syariah di lingkungannya masing-masing. Tidak hanya memahami prinsip keuangan syariah, tetapi juga mampu mengedukasi masyarakat agar terhindar dari praktik keuangan ilegal,” tegasnya.
Dedy Yon melalui SICANTIKS lahir kader-kader perempuan yang menjadi duta literasi keuangan syariah hingga tingkat kecamatan, kelurahan, dan dasawisma.
Sementara itu, Kepala OJK Tegal, Kurnia Tri Puspita, menyampaikan bahwa peran ibu sangat strategis dalam edukasi dan pengelolaan keuangan keluarga.
Dalam keuangan syariah, prinsip utama terletak pada akad, dengan sistem bagi hasil, bukan bunga.

SICANTIKS - Ketua PKK Kota Tegal Gadis Sephi Febriana jadi Bunda SICANTIKS Kota Tegal.-istimewa-
Ia menjelaskan secara singkat tiga prinsip penting dalam pengelolaan keuangan, yakni tabungan sebagai pondasi, proteksi sebagai perlindungan, dan investasi sebagai kebun yang perlu dirawat agar berkembang.
Kurnia juga mengingatkan masyarakat untuk waspada terhadap berbagai modus penipuan keuangan, termasuk melalui SMS dan WhatsApp, serta penawaran investasi bodong.
Jika sudah terlanjur menjadi korban, masyarakat diminta segera melapor agar dapat segera dilakukan pemblokiran dan penanganan.
Melalui kolaborasi antara Otoritas Jasa Keuangan Tegal dan TP PKK Kota Tegal diharapkan mampu melahirkan ibu-ibu yang cakap, bijak, dan tangguh dalam mengelola keuangan keluarga sesuai prinsip syariah.",sicantiks | wali kota tegal | keuangan syariah | pkk | agen | ojk
Opsar Tiga Orang yang Hanyut Saat Diduga Menghindari Penggerebekan Judi Sabung Ayam di Tegal Dihentikan,"Selasa 03-03-2026,19:30 WIB",https://radartegal.disway.id/lokal/read/723212/opsar-tiga-orang-yang-hanyut-saat-diduga-menghindari-penggerebekan-judi-sabung-ayam-di-tegal-dihentikan,"EVAKUASI - Sejumlah petugas mengevakuasi salah satu korban hanyut di Sungai Ketiwon ke rumah sakit
TEGAL, radartegal.com - Operasi pencarian terhadap empat orang yang sebelumnya dilaporkan hanyut di Sungai Ketiwon Kelurahan Panggung Kecamatan TEGAL Timur Kota TEGAL akhirnya dihentikan, Selasa, 3 Maret 2026. Hasilnya, tiga orang ditemukan dalam kondisi meninggal dunia masing-masing MA dan SM warga Kabupaten TEGAL serta SE warga Kota TEGAL.
Sementara UD yang sebelumnya dikabarkan ikut hanyut, ternyata tidak ikut tenggelam dan dilaporkan selamat. Para korban hanyut, setelah diduga nekat terjun ke sungai saat menghindari penggerebekan sabung ayam yang dilakukan pihak berwajib.
Ketua PMI Kabupaten Tegal Imam Sisworo melalui Kepala Markas Sunarto mengatakan Operasi SAR (Opsar) hari ke-2 pencarian hanyut di Sungai Ketiwon secara resmi dihentikan. Itu, setelah seluruh korban berhasil teridentifikasi.
Menurutnya, dalam pelaksanaan operasi, tiga orang korban berhasil ditemukan. Sedangkan satu orang atas nama UD warga Kelurahan Panggung, Kecamatan Tegal Timur, yang semula dilaporkan hanyut, berdasarkan hasil konfirmasi dinyatakan tidak hanyut.
""Sebelumnya, memang UD dilaporkan ikut hanyut, namun sudah terkonfirmasi tidak hanyut, karena yang bersangkutan diketahui meninggalkan rumah. Dengan begitu, empat orang telah teridentifikasi dan Operasi SAR Gabungan dinyatakan selesai,"" tegasnya.
Pada kesempatan itu, Sunarto mengatakan pihaknya menyampaikan terimakasih kepada seluruh unsur yang tergabung dalam opsar. Atas kerja sama, dedikasi, dan upaya maksimal yang telah dilakukan selama proses pencarian.
Sebelumnya sempat diberitakan, empat orang Pemuda di Tegal diduga hanyut di Sungai Ketiwon pada Minggu, 1 Maret 2026. Keempatnya diduga hanyut setelah melompat ke sungai saat berupaya menghindari penggerebekan sabung ayam yang dilakukan pihak berwajib.",berita tegal terbaru | berita tegal hari ini | judi | berita tegal | sabung ayam | kota | tegal
Persiapan Mudik 2026: Dishub Kabupaten Tegal Mulai Perbaiki PJU dan Jalur Alternatif,"Selasa 03-03-2026,15:52 WIB",https://radartegal.disway.id/lokal/read/723207/persiapan-mudik-2026-dishub-kabupaten-tegal-mulai-perbaiki-pju-dan-jalur-alternatif,"RINCI - Kabid Prasarana Perlengkapan Jalan bersama sekretaris Dishub berembug merinci perbaikan perlengkapan jalan jelang arus mudik Lebaran 2026 di Kabupaten Tegal.-Hermas Purwadi-
SLAWI, radartegal.com — Guna menjamin keselamatan dan kenyamanan pemudik yang akan melintas di wilayah Kabupaten Tegal, Dinas Perhubungan (Dishub) melalui Bidang Prasarana dan Perlengkapan Jalan mulai tancap gas melakukan pembenahan fasilitas jalan. Fokus utama saat ini adalah perbaikan serta penggantian Lampu Penerangan Jalan Umum (PJU) di jalur utama dan alternatif.
Sekretaris Dishub Kabupaten Tegal Muhammad Nuh, didampingi Kabid Prasarana Perlengkapan Jalan, Bayu Atmo, menjelaskan bahwa seluruh perbaikan fisik ditargetkan mulai berjalan masif pada H-14 Lebaran 2026.
""Saat ini kami sedang melakukan tahap identifikasi lapangan untuk memetakan titik-titik lampu yang membutuhkan penanganan mendesak, baik di jalur Pantura, jalur Selatan, hingga akses wisata Yomani arah Guci,"" ujar Muhammad Nuh, Selasa 3 Maret 2026).
Pihak Dishub telah merinci titik-titik krusial yang menjadi prioritas penerangan:
Catatan Teknis: Untuk jalur Yomani arah Guci, petugas memberikan perhatian ekstra mengingat adanya kendala teknis berupa pergerakan tanah di lintasan tersebut yang dapat memengaruhi stabilitas tiang penyangga jalan.
Selain penerangan, Dishub juga memastikan kesiapan alat kendali lalu lintas lainnya:
APILL (Traffic Light): Sebanyak 19 titik di Kabupaten Tegal dinyatakan dalam kondisi 100% berfungsi baik.
Palang Pintu Kereta Api: Perbaikan telah rampung dilakukan di beberapa titik krusial, antara lain:",mudik 2026 | yomani | guci | kabupaten tegal | pju | pantura | dishub | purwokerto
